Threats.ThreatsSubfield.StressesSubfield.stress,Threats.ThreatsSubfield.StressesSubfield.stressdesc,Threats.ThreatsSubfield.ThreatsLookup,Threats.ThreatsSubfield.ThreatsName,Threats.ThreatsSubfield.ancestry,Threats.ThreatsSubfield.ias,Threats.ThreatsSubfield.internationalTrade,Threats.ThreatsSubfield.scope,Threats.ThreatsSubfield.severity,Threats.ThreatsSubfield.text,Threats.ThreatsSubfield.timing,Threats.ThreatsSubfield.virus,internal_taxon_id
2.3.7|1.1|1.2|2.1|2.2,,11.1,,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.2,,4.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2,,1.2,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,22823
2.3.7|1.2|2.2,,6.1,,,,,Minority (<50%),Unknown,,Ongoing,,22823
2.3.6|2.1,,5.1.1,,,,No,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,22823
1.2|2.1|2.2,,9.2.1,,,,,Unknown,Unknown,,Ongoing,,22823
2.3.7|1.2|2.2,,7.1.1,,,,,Minority (<50%),Unknown,,Future,,22823
1.2|2.1,,12.1,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.1,,9.3.3,,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.2,,9.6.3,,,,,Unknown,Unknown,,Ongoing,,22823
2.1,,5.1.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.2|2.1|2.2,,3.1,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
1.3|2.1|2.2,,1.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,22823
2.3.7|1.2|2.1,,8.1.1,,,,,Unknown,Unknown,,Future,,22823
2.3.7|1.2|2.1,,8.2,,,,,Unknown,Unknown,,Ongoing,,22823
2.1,,5.4.3,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
1.1|1.2,,1.1,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,5.4.1,,,,,Minority (<50%),Rapid Declines,,Ongoing,,6909
1.2,,11.4,,,,,Whole (>90%),Rapid Declines,,Ongoing,,6909
2.2,,6.1,,,,,Minority (<50%),Unknown,,Ongoing,,6909
1.2,,9.3.4,,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,6909
1.1|1.2,,4.3,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,9.2.1,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,6909
2.1,,8.2,,,,,Unknown,Unknown,,Ongoing,,60344
,,8.1.1,,,,,Majority (50-90%),Unknown,,Ongoing,,60344
1.1|1.2|1.3|2.2,,4.2,,,,,Minority (<50%),Unknown,,Future,,60344
1.1|2.2,,1.2,,,,,Minority (<50%),Negligible declines,,Ongoing,,60344
1.1|1.2|1.3|2.2,,4.1,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.1|1.2|1.3|2.1|2.2,,3.3,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,60344
1.1|1.2|1.3|2.2,,3.1,,,,,Minority (<50%),Unknown,,Future,,60344
1.1|2.2,,1.1,,,,,Minority (<50%),Negligible declines,,Ongoing,,60344
1.1|1.2|1.3|2.2,,2.3.3,,,,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,60344
1.1|1.2|1.3|2.2,,2.2.2,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
2.3.7|2.1|2.2,,11.5,,,,,Whole (>90%),Causing/Could cause fluctuations,,Ongoing,,60344
1.1|1.2|1.3|2.2,,11.4,,,,,Majority (50-90%),Unknown,,Ongoing,,60344
1.2|1.3,,9.2.2,,,,,Minority (<50%),Unknown,,Ongoing,,60344
1.1|1.2|1.3|2.1,,9.3.3,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,60344
,,9.5.1,,,,,,,,Ongoing,,60344
1.1|1.2|1.3|2.2,,9.6.1,,,,,Minority (<50%),Unknown,,Future,,60344
1.2|1.3|2.2,,9.6.2,,,,,Minority (<50%),Unknown,,Ongoing,,60344
,,11.1,,,,,,,,Ongoing,,60344
1.1|1.2|1.3|2.1|2.2,,7.2.9,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,60344
1.1|1.2|1.3|2.1|2.2,,7.2.10,,,,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,60344
1.1|1.2|1.3|2.2,,2.1.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3,,9.1.1,,,,,Minority (<50%),Unknown,,Ongoing,,60344
1.2|1.3,,9.1.2,,,,,Minority (<50%),Unknown,,Ongoing,,60344
1.2|1.3|2.2,,7.2.7,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3|2.2,,7.2.6,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3|2.2,,7.2.5,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3|2.1|2.2,,7.2.3,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3|2.1|2.2,,7.2.2,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
1.2|1.3|2.1|2.2,,7.2.1,,,,,Minority (<50%),Causing/Could cause fluctuations,,Ongoing,,60344
2.1,,5.4.1,,,,No,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,60344
1.1|1.2|1.3|2.2,,5.3.4,,,,,Minority (<50%),Unknown,,"Past, Unlikely to Return",,60344
1.1|2.2,,1.3,,,,,Minority (<50%),Negligible declines,,Ongoing,,60344
1.1|1.2|1.3|2.1|2.2,,11.2,,,,,Majority (50-90%),Causing/Could cause fluctuations,,Ongoing,,60344
2.2|2.3.7,,8.1.2,,,Anguillicoloides crassus,,Majority (50-90%),Unknown,,Ongoing,,60344
1.2|2.1,,5.3.1,,,,,Whole (>90%),Very Rapid Declines,,"Past, Unlikely to Return",,37583
2.1,,8.1.2,,,Insignorthezia insignis,,Minority (<50%),"Slow, Significant Declines",,"Past, Likely to Return",,37583
2.2,,8.1.2,,Feral,Unspecified Rattus,,Whole (>90%),"Slow, Significant Declines",,Ongoing,,37583
1.2|2.3.2,,8.1.1,,,,,Whole (>90%),"Slow, Significant Declines",,Ongoing,,37583
1.2|2.3.7,,8.1.2,,,Oryctolagus cuniculus,,Majority (50-90%),"Slow, Significant Declines",,Ongoing,,37583
1.2|2.3.2,,8.1.2,,,Schinus terebinthifolia,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,37583
2.1|1.2|1.1,,8.1.2,,Feral,Capra hircus,,Whole (>90%),Rapid Declines,,"Past, Unlikely to Return",,37583
2.2|2.1|2.3.7,,8.1.2,,Feral,Bos taurus,,Minority (<50%),"Slow, Significant Declines",,Ongoing,,37583
2.2|2.1|1.2|2.3.7,,8.1.2,,Feral,Sus domesticus,,Majority (50-90%),"Slow, Significant Declines",,"Past, Unlikely to Return",,37583
