"internal_taxon_id","kingdom","phylum","classname","ordername","family","genus","species","taxonomicAuthority"
"766791-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","Rubiaceae","Spermacoce","laevis","Lam."
"140342-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","PLUMBAGINALES","Plumbaginaceae","Limonium","carolinianum","(Walter) Britton"
"854920-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","URTICALES","Urticaceae","Parietaria","floridana","Nutt."
"854710-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","URTICALES","Moraceae","Morus","rubra","L."
"443432-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Juncaceae","Juncus","roemerianus","Scheele"
"270918-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","LILIALES","Amaryllidaceae","Zephyranthes","atamasco","(L.) Herb."
"319128-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","Lamiaceae","Callicarpa","americana","L."
"319348-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","HALORAGALES","Haloragaceae","Proserpinaca","palustris","L."
"397065-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Poaceae","Cynodon","dactylon","(L.) Pers."
"836997-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","URTICALES","Cannabaceae","Celtis","laevigata","Willd."
"323180-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","EBENALES","Ebenaceae","Diospyros","virginiana","L."
"131108-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","Convolvulaceae","Jacquemontia","havanensis","(Jacq.) Urb."
"609775-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SCROPHULARIALES","Oleaceae","Jasminum","simplicifolium","G.Forst."
"561095-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","Malvaceae","Kosteletzkya","pentacarpos","(L.) Ledeb."
"312160-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Cyperaceae","Rhynchospora","fascicularis","(Michx.) Vahl"
"1103484-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Poaceae","Sporobolus","junceus","(P.Beauv.) Kunth"
"856750-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","URTICALES","Cannabaceae","Trema","lamarckiana","(Schult.) Blume"
"1182077-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Cyperaceae","Bolboschoenus","robustus","(Pursh) Soják"
"60458018-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CELASTRALES","Celastraceae","Crossopetalum","rhacoma","Crantz"
"70559-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","Euphorbiaceae","Croton","monanthogynus","Michx."
"304222-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Cyperaceae","Cyperus","croceus","Vahl"
"79450-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","SOLANALES","Convolvulaceae","Dichondra","carolinensis","Michx."
"673038-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","PAPAVERALES","Papaveraceae","Fumaria","muralis","Sond. ex W.D.J.Koch"
"30121490-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","Onagraceae","Ludwigia","repens","J.R.Forst."
"805524-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","PLANTAGINALES","Plantaginaceae","Maurandya","scandens","(Cav.) Pers."
"328550-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","LILIALES","Liliaceae","Medeola","virginiana","L."
"181506-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Poaceae","Panicum","amarum","Elliott"
"675096-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","VIOLALES","Passifloraceae","Passiflora","incarnata","L."
"196799-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MYRTALES","Myrtaceae","Pimenta","dioica","(L.) Merr."
"685785-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","PLANTAGINALES","Plantaginaceae","Plantago","virginica","L."
"457230-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","Lamiaceae","Salvia","serotina","L."
"459074-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","Lamiaceae","Sideritis","romana","L."
"157913-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","Caryophyllaceae","Silene","nocturna","L."
"541314-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","LILIALES","Smilacaceae","Smilax","bona-nox","L."
"849121-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","APIALES","Apiaceae","Smyrnium","olusatrum","L."
"767016-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","Rubiaceae","Spermacoce","tetraquetra","A.Rich."
"242811-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","ORCHIDALES","Orchidaceae","Spiranthes","torta","(Thunb.) Garay & H.R.Sweet"
"857732-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","URTICALES","Urticaceae","Urtica","membranacea","Poir. ex Savigny"
"769659-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","Rubiaceae","Valantia","hispida","L."
"77103945-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","Lamiaceae","Volkameria","glabra","(E.Mey.) Mabb. & Y.W.Yuan"
"337150-1","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALPIGHIALES","Euphorbiaceae","Acalypha","alopecuroidea","Jacq."
"13112-2","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","POALES","Poaceae","Andropogon","virgatus","Desv."
"319092-2","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ARISTOLOCHIALES","Aristolochiaceae","Aristolochia","trilobata","L."
"118574-3","PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CAPPARALES","Brassicaceae","Cakile","lanceolata","(Willd.) O.E.Schulz"
"297578-1","PLANTAE","TRACHEOPHYTA","LILIOPSIDA","CYCLANTHALES","Cyclanthaceae","Carludovica","palmata","Ruiz & Pav."
