VALUE,LEVEL3_NAM,LEVEL3_COD
2,Afghanistan,AFG
6,Alabama,ALA
20,Alaska,ASK
7,Albania,ALB
1,Alberta,ABT
8,Aldabra,ALD
11,Aleutian Is.,ALU
9,Algeria,ALG
10,Altay,ALT
21,Amsterdam-St.Paul Is.,ASP
12,Amur,AMU
13,Andaman Is.,AND
14,Angola,ANG
15,Antarctica,ANT
23,Antipodean Is.,ATP
3,Argentina Northeast,AGE
5,Argentina Northwest,AGW
4,Argentina South,AGS
16,Arizona,ARI
17,Arkansas,ARK
18,Aruba,ARU
19,Ascension,ASC
22,Assam,ASS
24,Austria,AUT
25,Azores,AZO
26,Bahamas,BAH
27,Baleares,BAL
35,Baltic States,BLT
28,Bangladesh,BAN
34,Belarus,BLR
31,Belgium,BGM
36,Belize,BLZ
29,Benin,BEN
30,Bermuda,BER
32,Bismarck Archipelago,BIS
37,Bolivia,BOL
38,Borneo,BOR
39,Botswana,BOT
40,Bouvet I.,BOU
48,Brazil North,BZN
46,Brazil Northeast,BZE
49,Brazil South,BZS
47,Brazil Southeast,BZL
45,Brazil West-Central,BZC
41,British Columbia,BRC
43,Bulgaria,BUL
33,Burkina,BKN
44,Burundi,BUR
42,Buryatiya,BRY
80,C. American Pacific Is.,CPI
50,Cabinda,CAB
52,California,CAL
54,Cambodia,CBD
71,Cameroon,CMN
73,Canary Is.,CNY
81,Cape Provinces,CPP
88,Cape Verde,CVI
82,Caprivi Strip,CPV
83,Caroline Is.,CRL
53,Cayman Is.,CAY
51,Central African Republic,CAF
275,Central European Russia,RUC
56,Chad,CHA
55,Chagos Archipelago,CGS
86,Chatham Is.,CTM
67,Chile Central,CLC
69,Chile North,CLN
70,Chile South,CLS
61,China North-Central,CHN
57,China South-Central,CHC
63,China Southeast,CHS
85,Chita,CTA
362,Christmas I.,XMS
66,Cocos (Keeling) I.,CKI
68,Colombia,CLM
74,Colorado,COL
75,Comoros,COM
76,Congo,CON
72,Connecticut,CNT
77,Cook Is.,COO
78,Corse,COR
79,Costa Rica,COS
84,Crozet Is.,CRZ
87,Cuba,CUB
89,Cyprus,CYP
90,Czechoslovakia,CZE
91,Delaware,DEL
92,Denmark,DEN
95,Desventurados Is.,DSV
354,District of Columbia,WDC
93,Djibouti,DJI
94,Dominican Republic,DOM
96,East Aegean Is.,EAI
276,East European Russia,RUE
100,East Himalaya,EHM
97,Easter Is.,EAS
98,Ecuador,ECU
99,Egypt,EGY
101,El Salvador,ELS
102,Equatorial Guinea,EQG
103,Eritrea,ERI
104,Ethiopia,ETH
109,Føroyar,FOR
105,Falkland Is.,FAL
106,Fiji,FIJ
107,Finland,FIN
108,Florida,FLA
110,France,FRA
248,Free State,OFS
111,French Guiana,FRG
112,Gabon,GAB
113,Galápagos,GAL
114,"Gambia, The",GAM
115,Georgia,GEO
116,Germany,GER
118,Ghana,GHA
119,Gilbert Is.,GIL
122,Great Britain,GRB
123,Greece,GRC
121,Greenland,GNL
125,Guatemala,GUA
126,Guinea,GUI
120,Guinea-Bissau,GNB
117,Gulf of Guinea Is.,GGI
124,Gulf States,GST
127,Guyana,GUY
58,Hainan,CHH
128,Haiti,HAI
129,Hawaii,HAW
131,Heard-McDonald Is.,HMD
132,Honduras,HON
130,Howland-Baker Is.,HBI
133,Hungary,HUN
134,Iceland,ICE
135,Idaho,IDA
136,Illinois,ILL
137,India,IND
138,Indiana,INI
59,Inner Mongolia,CHI
139,Iowa,IOW
142,Iran,IRN
143,Iraq,IRQ
140,Ireland,IRE
141,Irkutsk,IRK
144,Italy,ITA
145,Ivory Coast,IVO
146,Jamaica,JAM
147,Japan,JAP
148,Jawa,JAW
149,Juan Fernández Is.,JNF
150,Kamchatka,KAM
151,Kansas,KAN
152,Kazakhstan,KAZ
165,Kazan-retto,KZN
162,Kentucky,KTY
154,Kenya,KEN
153,Kerguelen,KEG
155,Kermadec Is.,KER
157,Khabarovsk,KHA
156,Kirgizistan,KGZ
158,Korea,KOR
159,Krasnoyarsk,KRA
160,Kriti,KRI
161,Krym,KRY
163,Kuril Is.,KUR
164,Kuwait,KUW
215,KwaZulu-Natal,NAT
166,Labrador,LAB
171,Laccadive Is.,LDV
167,Laos,LAO
169,Lebanon-Syria,LBS
172,Leeward Is. AB Ant,LEE
173,Lesotho,LES
176,Lesser Sunda Is.,LSI
168,Liberia,LBR
170,Libya,LBY
174,Line Is.,LIN
175,Louisiana,LOU
180,Macquarie Is.,MAQ
185,Madagascar,MDG
186,Madeira,MDR
177,Magadan,MAG
178,Maine,MAI
191,Malawi,MLW
192,Malaya,MLY
187,Maldives,MDV
190,Mali,MLI
194,Maluku,MOL
60,Manchuria,CHM
179,Manitoba,MAN
184,Marcus I.,MCS
199,Marianas,MRN
198,Marion-Prince Edward Is.,MPE
200,Marquesas,MRQ
201,Marshall Is.,MRS
202,Maryland,MRY
181,Massachusetts,MAS
205,Mauritania,MTN
182,Mauritius,MAU
209,Mexican Pacific Is.,MXI
206,Mexico Central,MXC
208,Mexico Gulf,MXG
207,Mexico Northeast,MXE
210,Mexico Northwest,MXN
212,Mexico Southeast,MXT
211,Mexico Southwest,MXS
188,Michigan,MIC
189,Minnesota,MIN
203,Mississippi,MSI
204,Missouri,MSO
195,Mongolia,MON
193,Montana,MNT
196,Morocco,MOR
197,Mozambique,MOZ
183,Mozambique Channel Is.,MCI
213,Myanmar,MYA
214,Namibia,NAM
231,Nansei-shoto,NNS
233,Nauru,NRU
221,Nebraska,NEB
222,Nepal,NEP
223,Netherlands,NET
230,Netherlands Antilles,NLA
224,Nevada,NEV
216,New Brunswick,NBR
239,New Caledonia,NWC
240,New Guinea,NWG
241,New Hampshire,NWH
242,New Jersey,NWJ
243,New Mexico,NWM
235,New South Wales,NSW
245,New York,NWY
246,New Zealand North,NZN
247,New Zealand South,NZS
226,Newfoundland,NFL
229,Nicaragua,NIC
218,Nicobar Is.,NCB
228,Niger,NGR
227,Nigeria,NGA
237,Niue,NUE
225,Norfolk Is.,NFK
217,North Carolina,NCA
219,North Caucasus,NCS
220,North Dakota,NDA
277,North European Russia,RUN
336,Northern Provinces,TVL
236,Northern Territory,NTA
279,Northwest European Russia,RUW
244,Northwest Territories,NWT
232,Norway,NOR
234,Nova Scotia,NSC
238,Nunavut,NUN
249,Ogasawara-shoto,OGA
250,Ohio,OHI
251,Oklahoma,OKL
252,Oman,OMA
253,Ontario,ONT
254,Oregon,ORE
255,Pakistan,PAK
256,Palestine,PAL
257,Panama,PAN
258,Paraguay,PAR
260,Pennsylvania,PEN
261,Peru,PER
262,Philippines,PHI
263,Phoenix Is.,PHX
264,Pitcairn Is.,PIT
265,Poland,POL
266,Portugal,POR
267,Primorye,PRM
259,Prince Edward I.,PEI
268,Puerto Rico,PUE
62,Qinghai,CHQ
270,Québec,QUE
269,Queensland,QLD
271,Réunion,REU
272,Rhode I.,RHO
273,Rodrigues,ROD
274,Romania,ROM
280,Rwanda,RWA
281,Sakhalin,SAK
282,Samoa,SAM
289,Santa Cruz Is.,SCZ
283,Sardegna,SAR
284,Saskatchewan,SAS
285,Saudi Arabia,SAU
291,Selvagens,SEL
292,Senegal,SEN
293,Seychelles,SEY
295,Sicilia,SIC
296,Sierra Leone,SIE
297,Sinai,SIN
287,Society Is.,SCI
299,Socotra,SOC
300,Solomon Is.,SOL
301,Somalia,SOM
298,South Australia,SOA
286,South Carolina,SCA
288,South China Sea,SCS
290,South Dakota,SDA
278,South European Russia,RUS
294,South Georgia,SGE
304,South Sandwich Is.,SSA
311,Southwest Caribbean,SWC
302,Spain,SPA
303,Sri Lanka,SRL
305,St.Helena,STH
306,Sudan,SUD
307,Sulawesi,SUL
308,Sumatera,SUM
309,Surinam,SUR
310,Svalbard,SVA
314,Swaziland,SWZ
312,Sweden,SWE
313,Switzerland,SWI
337,Tadzhikistan,TZK
315,Taiwan,TAI
316,Tanzania,TAN
317,Tasmania,TAS
321,Tennessee,TEN
322,Texas,TEX
323,Thailand,THA
64,Tibet,CHT
325,Togo,TOG
326,Tokelau-Manihiki,TOK
327,Tonga,TON
319,Transcaucasus,TCS
328,Trinidad-Tobago,TRT
320,Tristan da Cunha,TDC
329,Tuamotu,TUA
330,Tubuai Is.,TUB
332,Tunisia,TUN
333,Turkey,TUR
331,Turkey-in-Europe,TUE
324,Turkmenistan,TKM
318,Turks-Caicos Is.,TCI
335,Tuva,TVA
334,Tuvalu,TUV
338,Uganda,UGA
339,Ukraine,UKR
340,Uruguay,URU
341,Utah,UTA
342,Uzbekistan,UZB
343,Vanuatu,VAN
344,Venezuela,VEN
348,Venezuelan Antilles,VNA
345,Vermont,VER
346,Victoria,VIC
347,Vietnam,VIE
349,Virginia,VRG
350,Wake I.,WAK
351,Wallis-Futuna Is.,WAL
352,Washington,WAS
355,West Himalaya,WHM
359,West Siberia,WSB
360,West Virginia,WVA
353,Western Australia,WAU
358,Western Sahara,WSA
356,Windward Is.,WIN
357,Wisconsin,WIS
361,Wyoming,WYO
65,Xinjiang,CHX
363,Yakutskiya,YAK
364,Yemen,YEM
365,Yugoslavia,YUG
366,Yukon,YUK
367,Zaïre,ZAI
368,Zambia,ZAM
369,Zimbabwe,ZIM
