kingdom,phylum,classname,ordername,family
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Orobanchaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,RHIZOGONIALES,Orthodontiaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,ORTHOTRICHALES,Orthotrichaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,OSMUNDALES,Osmundaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,OXALIDALES,Oxalidaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DILLENIALES,Paeoniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ARECALES,Palmae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,Pandaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,PANDANALES,Pandanaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PAPAVERALES,Papaveraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Paracryphiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Parnassiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Passifloraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Pedaliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Pellicieraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Penaeaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAMPANULALES,Pentaphragmataceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Pentaphylacaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Penthoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,Peraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Peridiscaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Personiellaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,FOSSOMBRONIALES,Petalophyllaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Petermanniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Petrosaviaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Phellinaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Philesiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Philydraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Phormiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Phrymaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Phycolepidoziaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,Phyllanthaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Phyllocladaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GIGARTINALES,Phyllophoraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HAMAMELIDALES,Physenaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Phytolaccaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HOOKERIALES,Pilotrichaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Pinaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PIPERALES,Piperaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Pittosporaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Plagiochilaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,CYATHEALES,Plagiogyriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Plagiopteraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PLANTAGINALES,Plantaginaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HAMAMELIDALES,Platanaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PLEUROZIALES,Pleuroziaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PLUMBAGINALES,Plumbaginaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Poaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Podoaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Podocarpaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PODOSTEMALES,Podostemaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,Polemoniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Polygalaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGONALES,Polygonaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Polypodiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES,Pontederiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Portulacaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Posidoniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Potamogetonaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,POTTIALES,Pottiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,Primulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PROTEALES,Proteaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Ptaeroxylaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Pteridaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Pterobryaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Pterostemonaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,GRIMMIALES,Ptychomitriaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,HYPNALES,Pylaisiadelphaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ERICALES,Pyrolaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Quiinaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,PORELLALES,Radulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RAFFLESIALES,Rafflesiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,Ranunculaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,COMMELINALES,Rapateaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,Resedaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Restionaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Retziaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Rhabdodendraceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,DICRANALES,Rhachitheciaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHAMNALES,Rhamnaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Rhipogonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHIZOPHORALES,Rhizophoraceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GIGARTINALES,Rhizophyllidaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,Rhodomelaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,RHODYMENIALES,Rhodymeniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,JUGLANDALES,Rhoipteleaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Rhynchocalycaceae
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,MARCHANTIALES,Ricciaceae
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,SPHAEROCARPALES,Riellaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Ripogonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Roridulaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Rosaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Rubiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Ruscaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Rutaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,Sabiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,Saccifoliaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Saccolomataceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SALICALES,Salicaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Salvadoraceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SALVINIALES,Salviniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Santalaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Sapindaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,Sapotaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,Sarcolaenaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RANUNCULALES,Sargentodoxaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,NEPENTHALES,Sarraceniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PIPERALES,Saururaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Saxifragaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Scapaniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Scheuchzeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ILLICIALES,Schisandraceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Schistochilaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,SCHIZAEALES,Schizaeaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,NEMASTOMATALES,Schizymeniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Schlegeliaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Sciadopityaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SCROPHULARIALES,Scrophulariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Scyphostegiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Scytopetalaceae
PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,SEBDENIALES,Sebdeniaceae
PLANTAE,TRACHEOPHYTA,LYCOPODIOPSIDA,SELAGINELLALES,Selaginellaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,Sematophyllaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,Simaroubaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EUPHORBIALES,Simmondsiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Smilacaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SOLANALES,Solanaceae
PLANTAE,MARCHANTIOPHYTA,JUNGERMANNIOPSIDA,JUNGERMANNIALES,Solenostomataceae
PLANTAE,MARCHANTIOPHYTA,MARCHANTIOPSIDA,SPHAEROCARPALES,Sphaerocarpaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Sphaerosepalaceae
PLANTAE,BRYOPHYTA,SPHAGNOPSIDA,SPHAGNALES,Sphagnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Sphenostemonaceae
PLANTAE,BRYOPHYTA,BRYOPSIDA,BRYALES,Splachnaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Stachyuraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Stackhousiaceae
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,Stangeriaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CROSSOSOMATALES,Staphyleaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,Stegnospermataceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Stemonaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,Sterculiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Stilbaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Strasburgeriaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGERBERALES,Strelitziaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAMPANULALES,Stylidiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Stylobasiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,Styracaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Surianaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,EBENALES,Symplocaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Taccaceae
PLANTAE,BRYOPHYTA,TAKAKIOPSIDA,TAKAKIALES,Takakiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Tamaricaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,HUERTEALES,Tapisciaceae
PLANTAE,TRACHEOPHYTA,PINOPSIDA,PINALES,Taxaceae
PLANTAE,TRACHEOPHYTA,CONIFEROPSIDA,CONIFERALES,Taxodiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Tecophilaeaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Tectariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,Tepuianthaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,TROCHODENDRALES,Tetracentraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Tetrachondraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CUCURBITALES,Tetramelaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Tetrameristaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,THEALES,Theaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RUBIALES,Theligonaceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Thelypteridaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,PRIMULALES,Theophrastaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,JUNCALES,Thurniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Thymelaeaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FAGALES,Ticodendraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALVALES,Tiliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CORNALES,Torricelliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CAPPARALES,Tovariaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,Trapaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Tremandraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Trichopodaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Trigoniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Trilliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAURALES,Trimeniaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Triplostegiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,TRIURIDALES,Triuridaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,TROCHODENDRALES,Trochodendraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GERANIALES,Tropaeolaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Turneraceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Typhaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,Ulmaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,Umbelliferae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,URTICALES,Urticaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ROSALES,Vahliaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,DIPSACALES,Valerianaceae
PLANTAE,BRYOPHYTA,MARCHANTIOPSIDA,METZGERIALES,Vandiemeniaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Velloziaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,Verbenaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,VIOLALES,Violaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SANTALALES,Viscaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,RHAMNALES,Vitaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,POLYGALALES,Vochysiaceae
PLANTAE,TRACHEOPHYTA,GNETOPSIDA,WELWITSCHIALES,Welwitschiaceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MAGNOLIALES,Winteraceae
PLANTAE,TRACHEOPHYTA,POLYPODIOPSIDA,POLYPODIALES,Woodsiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,LILIALES,Xanthorrhoeaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,Xyridaceae
PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,Zamiaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Zannichelliaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,Zingiberaceae
PLANTAE,TRACHEOPHYTA,LILIOPSIDA,NAJADALES,Zosteraceae
PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ZYGOPHYLLALES,Zygophyllaceae
